product_id;code_public;name_full
41016;29293.18;"ROKA Koleno prodloužené s čistícím otvorem 90° z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41017;29300.18;"ROKA Komínový díl 950 mm z žáruvzdorné nerezi RS 2900 Ø 180 mm"
41020;29323.18;"ROKA Spojovací díl z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41023;29680.18;"ROKA Přechodový díl Ø 160/180 mm z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm"
41042;31040.485;"ROKA Pomocná konzola – délka 485 mm"
42223;31390.18;"ROKA Nerezová protidešťová manžeta Ø 180 mm"
41347;31390.23;"ROKA Nerezová protidešťová manžeta Ø 230 mm"
41413;31441.28;"ROKA Lemování 23–47° tvrdá krytina Ø 280 mm"
41447;31451.25;"ROKA Lemování 37–53° tvrdá krytina Ø 250 mm"
41507;31580.2;"ROKA Zakrývací kužel Ø 200 mm"
41513;31580.3;"ROKA Zakrývací kužel Ø 300 mm"
41521;31600.28;"ROKA Spona Ø 280 mm"
42225;35610.23;"ROKA Čelová spona + čelo Ø 230 mm pro díly s 50 mm izolací"
41541;35610.3;"ROKA Čelová spona + čelo Ø 300 mm pro díly s 50 mm izolací"
42228;35611.15;"ROKA Přechod RS 2100/RS 3500 Ø 150 mm s izolací 50 mm"
41079;36071.15;"ROKA Dno s odvodem kondenzátu do boku Ø 150 mm s izolací 50 mm"
41294;36300.2;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 200 mm s izolací 50 mm"
41535;31610.23;"ROKA Čelová spona + čelo Ø 230 mm pro díly s 25 mm izolací"
41596;31700.3;"ROKA Kotevní element Ø 300 mm"
42226;31710.19;"ROKA Kotvící objímka Ø 190 mm"
41605;31710.3;"ROKA Kotvící objímka Ø 300 mm"
41526;31601.23;"ROKA Spona s přezkou Ø 230 mm"
41528;31601.26;"ROKA Spona s přezkou Ø 260 mm"
41530;31601.3;"ROKA Spona s přezkou Ø 300 mm"
41618;31730.25;"ROKA Lůžko přednastavitelné 60–100 mm Ø 250 mm"
42751;22685.200H180;"ROKA Přechodový díl tažený 200/180 mm"
42752;22690.150H180;"ROKA Přechodový díl menší–větší 150/180 mm"
38570;"LUGO N 03 BF";"ROMOTOP Krbová kamna LUGO N BF plech"
38588;"NAVIA 03";"ROMOTOP Krbová kamna NAVIA plech"
