product_id;code_public;name_full
43881;"HL3LF 24";"ROMOTOP Krbová vložka HEAT L 3G L 81.51.40.24 (šedý igniton)"
43882;"HR3LF 24";"ROMOTOP Krbová vložka HEAT R 3G L 81.51.40.24 (šedý igniton)"
43905;30044743;"JOTUL Krbová vložka JØTUL I 520 F - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43806;Q142;"DEFRO HOME Krbová vložka TRIG XSM 9 A Compact MINI"
43962;30051934;"JOTUL Krbová vložka JØTUL I 620 FR - AKCE do 31. 7. 2026 nebo do vyprodání zásob"
43804;"HT4Z 04";"ROMOTOP Krbová vložka HEAT T 4G 70.50.04"
43861;Q66IZO;"Izolace pro Navi ME"
43909;"I3X RAM04";"RÁMEK I3X RAM04 krycí, polohluboký"
43916;"IL3LG RAM15";"RÁM IL3LG RAM15 nosný, podpůrný"
43925;"DB3H RAM01";"TECHNICKÝ RÁMEK (DB3H RAM01)"
43931;"I3LJ RAM14";"RÁM I3LJ RAM14 nosný"
43934;"I3LJ RAM12";"RÁMEK I3LJ RAM12 krycí"
43936;"AMS SET 01";"Akumulační modulární systém SET01"
43941;"DU3SH RAM14";"RÁM DU3SH RAM14 nosný"
43943;"DU3SH RAM12";"RÁMEK DU3SH RAM12 krycí"
43956;"ROURA 02A";"Kouřovod ke krbovým kamnům 150/500/2 mm"
